"Time [us]","Current(w1) [A]","Current(w2) [A]","Current(w3) [A]","Current(w4) [A]"
0,0,0,0,0
0.01,0.0627905195293134,-0.0518888290670366,-0.0697596810319193,0.0627905195293134
0.02,0.125333233564304,-0.10367168477266,-0.141852894004128,0.125333233564304
0.03,0.187381314585725,-0.155002281044045,-0.213394388033675,0.187381314585725
0.04,0.248689887164855,-0.205709594492873,-0.284070880794386,0.248689887164855
0.05,0.309016994374947,-0.255594195967009,-0.353608263869979,0.309016994374947
0.06,0.368124552684678,-0.304459562107376,-0.421734180329803,0.368124552684678
0.07,0.425779291565073,-0.352113354216844,-0.488180918244578,0.425779291565073
0.08,0.481753674101715,-0.398367983312104,-0.552686998124545,0.481753674101715
0.09,0.535826794978997,-0.443041319571394,-0.614998391394598,0.535826794978997
0.1,0.587785252292473,-0.485957415693576,-0.674869604151468,0.587785252292473
0.11,0.63742398974869,-0.526947211519506,-0.732064687609786,0.63742398974869
0.12,0.684547105928689,-0.565849210837423,-0.786358193021025,0.684547105928689
0.13,0.728968627421411,-0.602510126527326,-0.837536076382208,0.728968627421411
0.14,0.770513242775789,-0.63678549149933,-0.88539655330083,0.770513242775789
0.15,0.809016994374947,-0.66854023332677,-0.929750902672437,0.809016994374947
0.16,0.844327925502015,-0.697649210700872,-0.970424217075955,0.844327925502015
0.17,0.876306680043864,-0.723997709749286,-1.00725609737923,0.876306680043864
0.18,0.90482705246602,-0.747481898704608,-1.04010128929372,0.90482705246602
0.19,0.929776485888251,-0.768009239079198,-1.0688302593734,0.929776485888251
0.2,0.951056516295154,-0.785498852064464,-1.09332970866698,0.951056516295154
0.21,0.968583161128631,-0.799881838573156,-1.11350302157792,0.968583161128631
0.22,0.982287250728689,-0.811101551976875,-1.1292706487643,0.982287250728689
0.23,0.992114701314478,-0.819113822277064,-1.14057042234753,0.992114701314478
0.24,0.998026728428272,-0.823887130998164,-1.1473578021267,0.998026728428272
0.25,1,-0.825402736079764,-1.14960605246769,1
0.26,0.998026728428272,-0.823654746328338,-1.147306348256,0.998026728428272
0.27,0.992114701314478,-0.818650145065017,-1.140467810201,0.992114701314478
0.28,0.982287250728689,-0.810408762967112,-1.1291174693736,0.982287250728689
0.29,0.968583161128631,-0.798963200130757,-1.11330016097641,0.968583161128631
0.3,0.951056516295154,-0.784358697787141,-1.09307834749009,0.951056516295154
0.31,0.929776485888251,-0.766652960049503,-1.06853187247675,0.929776485888251
0.32,0.904827052466019,-0.745915926458408,-1.03975764569432,0.904827052466019
0.33,0.876306680043864,-0.722229496233741,-1.0068692606647,0.876306680043864
0.34,0.844327925502015,-0.695687205304282,-0.969996546655544,0.844327925502015
0.35,0.809016994374947,-0.666393857383298,-0.929285056174566,0.809016994374947
0.36,0.770513242775789,-0.634465110581494,-0.884895490845796,0.770513242775789
0.37,0.728968627421412,-0.600027021126495,-0.837003067137379,0.728968627421412
0.38,0.684547105928689,-0.563215546096672,-0.78579682494177,0.684547105928689
0.39,0.63742398974869,-0.524176006974367,-0.73147888154286,0.63742398974869
0.4,0.587785252292473,-0.483062516313862,-0.67426363402838,0.587785252292473
0.41,0.535826794978997,-0.440037369681068,-0.614376913177609,0.535826794978997
0.42,0.481753674101716,-0.395270405246657,-0.552055092216856,0.481753674101716
0.43,0.425779291565073,-0.348938333654383,-0.487544154022345,0.425779291565073
0.44,0.368124552684678,-0.30122404070101,-0.421098720321882,0.368124552684678
0.45,0.309016994374948,-0.25231586574078,-0.352981046901775,0.309016994374948
0.46,0.248689887164855,-0.202406858411272,-0.28345998854497,0.248689887164855
0.47,0.187381314585725,-0.151694016885702,-0.212809938042857,0.187381314585725
0.48,0.125333233564305,-0.100377510481711,-0.141309743300356,0.125333233564305
0.49,0.0627905195293136,-0.0486598897622706,-0.0692416068900059,0.0627905195293136
0.5,5.66553889764798e-16,0.00325471277991237,0.0031100277196426,5.66553889764798e-16
0.51,-0.0627905195293129,0.0551613882657951,0.0754595986624077,-0.0627905195293129
0.52,-0.125333233564304,0.106855260061719,0.14752155266933,-0.125333233564304
0.53,-0.187381314585724,0.158132292275701,0.219011472005046,-0.187381314585724
0.54,-0.248689887164855,0.208790094940206,0.289647196900971,-0.248689887164855
0.55,-0.309016994374947,0.258628722717725,0.359149939140593,-0.309016994374947
0.56,-0.368124552684678,0.307451463935322,0.427245382257699,-0.368124552684678
0.57,-0.425779291565073,0.355065616883864,0.49366476415317,-0.425779291565073
0.58,-0.481753674101715,0.401283250264771,0.558145937735541,-0.481753674101715
0.59,-0.535826794978996,0.445921944892072,0.620434405557534,-0.535826794978996
0.6,-0.587785252292473,0.488805513521154,0.68028432409101,-0.587785252292473
0.61,-0.637423989748689,0.529764696180955,0.737459474026803,-0.637423989748689
0.62,-0.684547105928688,0.568637828116065,0.791734192479155,-0.684547105928688
0.63,-0.728968627421411,0.605271477807737,0.842894263578438,-0.728968627421411
0.64,-0.770513242775789,0.639521052441717,0.890737763878086,-0.770513242775789
0.65,-0.809016994374947,0.671251368532804,0.935075859220347,-0.809016994374947
0.66,-0.844327925502015,0.700337185443472,0.975733550016346,-0.844327925502015
0.67,-0.876306680043864,0.726663699578056,1.01255036183134,-0.876306680043864
0.68,-0.904827052466019,0.750126997486285,1.04538097869268,-0.904827052466019
0.69,-0.929776485888251,0.770634465902701,1.07409581670237,-0.929776485888251
0.7,-0.951056516295154,0.78810515726345,1.09858153524064,-0.951056516295154
0.710000000000001,-0.968583161128633,0.802470109144695,1.11874148436442,-0.968583161128633
0.720000000000001,-0.98228725072869,0.813672616410235,1.13449608638839,-0.98228725072869
0.730000000000001,-0.992114701314479,0.821668454983488,1.14578314955541,-0.992114701314479
0.740000000000001,-0.998026728428272,0.826426056359149,1.15255811385929,-0.998026728428272
0.750000000000001,-1,0.827926632184591,1.15479422662227,-1
0.760000000000001,-0.998026728428271,0.826164248396017,1.15248264818044,-0.998026728428271
0.770000000000001,-0.992114701314477,0.821145848638125,1.14563248691463,-0.992114701314477
0.780000000000001,-0.982287250728688,0.812891226822564,1.1342707629807,-0.982287250728688
0.790000000000001,-0.96858316112863,0.801432949006335,1.1184423019546,-0.96858316112863
0.800000000000001,-0.951056516295152,0.786816224893894,1.09820955774654,-0.951056516295152
0.810000000000001,-0.929776485888249,0.769098729347548,1.07365236605247,-0.929776485888249
0.820000000000001,-0.904827052466017,0.748350374827059,1.04486762970898,-0.904827052466017
0.830000000000001,-0.876306680043861,0.72465303540511,1.01196893559582,-0.876306680043861
0.840000000000001,-0.844327925502012,0.698100223689664,0.975086106937476,-0.844327925502012
0.850000000000001,-0.809016994374944,0.668796721718658,0.934364690606254,-0.809016994374944
0.860000000000001,-0.770513242775786,0.636858167475525,0.889965382849099,-0.770513242775786
0.870000000000001,-0.728968627421407,0.602410598468949,0.842063395027592,-0.728968627421407
0.880000000000001,-0.684547105928684,0.565589954346904,0.790847762203616,-0.684547105928684
0.890000000000001,-0.637423989748685,0.526541540375353,0.736520597018057,-0.637423989748685
0.900000000000001,-0.587785252292468,0.485419453990966,0.679296292114299,-0.587785252292468
0.910000000000001,-0.535826794978992,0.442385976632158,0.619400673967569,-0.535826794978992
0.920000000000001,-0.48175367410171,0.397610933293969,0.557070111685902,-0.48175367410171
0.930000000000001,-0.425779291565067,0.351271022301257,0.492550584145471,-0.425779291565067
0.940000000000001,-0.368124552684673,0.303549117944161,0.426096709212471,-0.368124552684673
0.950000000000001,-0.309016994374942,0.254633548770704,0.357970738916937,-0.309016994374942
0.960000000000001,-0.248689887164849,0.204717354315233,0.288441524427361,-0.248689887164849
0.970000000000001,-0.187381314585719,0.153997523265584,0.217783455013419,-0.187381314585719
0.980000000000001,-0.125333233564299,0.102674216019803,0.146275375157458,-0.125333233564299
0.99,-0.0627905195293133,0.0509499747758613,0.0741994841320357,-0.0627905195293133
1,-1.1331077795296e-15,-0.000971075854256573,0.00184022218285014,-1.1331077795296e-15
