"Freq [MHz]","load_sweep []","mag(Current(s1)) [A]","mag(Current(s2)) [A]","mag(Current(s3)) [A]"
1,4.09317196912302e-10,1.5291371413228,0.993809343528151,0.475542329981771
1,5.03570164717667e-10,1.5291371413227,0.993809343528213,0.47554232998175
1,6.33957276984445e-10,1.52913714132256,0.993809343528296,0.47554232998172
1,7.98104925987552e-10,1.52913714132239,0.993809343528402,0.475542329981683
1,8.95488455427336e-10,1.5291371413223,0.993809343528466,0.475542329981661
1,1.12735317250578e-09,1.52913714132205,0.993809343528614,0.475542329981608
1,1.26491106406735e-09,1.52913714132191,0.993809343528705,0.475542329981577
1,1.4192535569343e-09,1.52913714132174,0.993809343528804,0.475542329981542
1,1.78673436860385e-09,1.52913714132136,0.993809343529035,0.475542329981459
1,2.00474893450909e-09,1.52913714132114,0.993809343529181,0.475542329981408
1,2.2493653007614e-09,1.52913714132089,0.99380934352934,0.475542329981353
1,2.52382937792077e-09,1.5291371413206,0.993809343529515,0.475542329981291
1,2.83178313753655e-09,1.52913714132028,0.993809343529715,0.47554232998122
1,3.17731293889713e-09,1.52913714131993,0.993809343529939,0.475542329981142
1,4e-09,1.52913714131907,0.993809343530468,0.475542329980955
1,4.48807381720785e-09,1.52913714131858,0.993809343530777,0.475542329980844
1,5.03570164717667e-09,1.529137141318,0.993809343531136,0.47554232998072
1,5.65015017849102e-09,1.52913714131735,0.993809343531532,0.47554232998058
1,6.33957276984445e-09,1.52913714131665,0.993809343531966,0.475542329980415
1,7.11311764015569e-09,1.52913714131584,0.993809343532476,0.475542329980247
1,7.98104925987552e-09,1.52913714131495,0.993809343533038,0.47554232998005
1,8.95488455427336e-09,1.52913714131393,0.993809343533665,0.475542329979829
1,1.00475457260383e-08,1.5291371413128,0.99380934353437,0.475542329979581
1,1.12735317250578e-08,1.52913714131152,0.993809343535159,0.475542329979301
1,1.26491106406735e-08,1.5291371413101,0.993809343536049,0.475542329978988
1,1.4192535569343e-08,1.5291371413085,0.993809343537044,0.475542329978639
1,1.59242868221399e-08,1.5291371413067,0.993809343538161,0.475542329978244
1,1.78673436860385e-08,1.52913714130469,0.993809343539414,0.475542329977803
1,2.00474893450909e-08,1.52913714130242,0.993809343540821,0.475542329977307
1,2.2493653007614e-08,1.52913714129989,0.993809343542398,0.475542329976751
1,2.52382937792077e-08,1.52913714129703,0.993809343544171,0.475542329976127
1,2.83178313753655e-08,1.52913714129385,0.993809343546156,0.475542329975427
1,3.17731293889713e-08,1.52913714129026,0.993809343548386,0.475542329974642
1,3.56500375253498e-08,1.52913714128624,0.993809343550887,0.47554232997376
1,4e-08,1.52913714128173,0.993809343553692,0.475542329972771
1,4.48807381720785e-08,1.52913714127665,0.993809343556842,0.475542329971661
1,5.03570164717667e-08,1.52913714127098,0.993809343560374,0.475542329970417
1,5.65015017849102e-08,1.5291371412646,0.993809343564338,0.47554232996902
1,6.33957276984446e-08,1.52913714125744,0.993809343568786,0.475542329967453
1,7.11311764015569e-08,1.52913714124942,0.993809343573777,0.475542329965694
1,7.98104925987552e-08,1.52913714124042,0.993809343579374,0.475542329963721
1,8.95488455427336e-08,1.52913714123031,0.993809343585656,0.475542329961508
1,1.00475457260383e-07,1.52913714121898,0.993809343592706,0.475542329959024
1,1.12735317250578e-07,1.52913714120626,0.993809343600616,0.475542329956237
1,1.26491106406735e-07,1.52913714119198,0.993809343609491,0.475542329953109
1,1.4192535569343e-07,1.52913714117597,0.993809343619447,0.475542329949601
1,1.59242868221399e-07,1.529137141158,0.993809343630619,0.475542329945663
1,1.78673436860385e-07,1.52913714113785,0.993809343643142,0.475542329941238
1,2.00474893450909e-07,1.52913714111523,0.993809343657218,0.47554232993629
1,2.2493653007614e-07,1.52913714108985,0.993809343673,0.47554232993073
1,2.52382937792077e-07,1.52913714106137,0.993809343690707,0.47554232992449
1,2.83178313753655e-07,1.52913714102942,0.993809343710573,0.47554232991749
1,3.17731293889713e-07,1.52913714099357,0.993809343732863,0.475542329909634
1,3.56500375253498e-07,1.52913714095334,0.993809343757875,0.475542329900821
1,4e-07,1.52913714090822,0.993809343785936,0.475542329890932
1,4.48807381720785e-07,1.52913714085758,0.993809343817424,0.475542329879836
1,5.03570164717667e-07,1.52913714080076,0.993809343852751,0.475542329867385
1,5.65015017849102e-07,1.52913714073701,0.99380934389239,0.475542329853417
1,6.33957276984446e-07,1.52913714066547,0.993809343936867,0.475542329837743
1,7.11311764015569e-07,1.52913714058521,0.99380934398677,0.475542329820157
1,7.98104925987552e-07,1.52913714049516,0.99380934404275,0.475542329800416
1,8.95488455427336e-07,1.52913714039411,0.993809344105585,0.475542329778284
1,1.00475457260383e-06,1.52913714028074,0.993809344176074,0.475542329753442
1,1.12735317250578e-06,1.52913714015353,0.993809344255165,0.475542329725569
1,1.26491106406735e-06,1.5291371400108,0.993809344343905,0.475542329694293
1,1.4192535569343e-06,1.52913713985065,0.993809344443475,0.475542329659201
1,1.59242868221399e-06,1.52913713967096,0.993809344555191,0.475542329619827
1,1.78673436860385e-06,1.52913713946934,0.99380934468054,0.475542329575646
1,2.00474893450909e-06,1.52913713924311,0.993809344821184,0.475542329526074
1,2.2493653007614e-06,1.52913713898927,0.993809344978988,0.475542329470452
1,2.52382937792077e-06,1.52913713870446,0.993809345156048,0.47554232940804
1,2.83178313753655e-06,1.52913713838489,0.993809345354711,0.475542329338011
1,3.17731293889713e-06,1.52913713802632,0.9938093455776,0.475542329259425
1,3.56500375253498e-06,1.52913713762397,0.993809345827714,0.475542329171264
1,4e-06,1.52913713717252,0.99380934610833,0.475542329072332
1,4.48807381720785e-06,1.52913713666597,0.993809346423185,0.475542328961322
1,5.03570164717667e-06,1.52913713609757,0.993809346776455,0.475542328836758
1,5.65015017849102e-06,1.52913713545981,0.993809347172832,0.475542328696985
1,6.33957276984446e-06,1.52913713474417,0.993809347617569,0.475542328540144
1,7.11311764015569e-06,1.52913713394118,0.99380934811657,0.475542328364151
1,7.98104925987552e-06,1.52913713304014,0.993809348676452,0.475542328166663
1,8.95488455427335e-06,1.52913713202908,0.993809349304645,0.475542327945053
1,1.00475457260383e-05,1.52913713089456,0.993809350009482,0.47554232769637
1,1.12735317250578e-05,1.52913712962148,0.993809350800316,0.475542327417305
1,1.26491106406735e-05,1.52913712819292,0.993809351687635,0.475542327104138
1,1.4192535569343e-05,1.52913712658985,0.99380935268321,0.475542326752695
1,1.59242868221399e-05,1.52913712479095,0.993809353800245,0.47554232635829
1,1.78673436860385e-05,1.52913712277223,0.993809355053559,0.475542325915661
1,2.00474893450909e-05,1.52913712050681,0.993809356459773,0.475542325418898
1,2.2493653007614e-05,1.52913711796451,0.993809358037539,0.475542324861361
1,2.52382937792077e-05,1.52913711511138,0.993809359807776,0.475542324235595
1,2.83178313753655e-05,1.52913711190936,0.993809361793963,0.475542323533223
1,3.17731293889713e-05,1.52913710831569,0.993809364022433,0.475542322744832
1,3.56500375253498e-05,1.5291371042823,0.993809366522728,0.475542321859845
1,4e-05,1.52913709975527,0.993809369327998,0.475542320866363
1,4.48807381720785e-05,1.52913709467394,0.993809372475449,0.475542319751046
1,5.03570164717666e-05,1.5291370889702,0.993809376006761,0.475542318498835
1,5.65015017849102e-05,1.52913708256748,0.993809379968747,0.475542317092832
1,6.33957276984446e-05,1.52913707537969,0.993809384413899,0.475542315514011
1,7.11311764015569e-05,1.52913706731009,0.993809389401107,0.47554231374096
1,7.98104925987552e-05,1.5291370582498,0.993809394996419,0.475542311749568
1,8.95488455427335e-05,1.5291370480764,0.993809401273953,0.475542309512691
1,0.000100475457260383,1.52913703665211,0.993809408316761,0.475542306999698
1,0.000112735317250578,1.52913702382181,0.993809416218072,0.475542304176093
1,0.000126491106406735,1.52913700941085,0.993809425082423,0.475542301002943
1,0.00014192535569343,1.52913699322243,0.993809435027055,0.475542297436322
1,0.000159242868221399,1.5291369750347,0.993809446183394,0.475542293426534
1,0.000178673436860385,1.52913695459752,0.993809458698898,0.475542288917487
1,0.000200474893450909,1.52913693162862,0.993809472738852,0.47554228384567
1,0.00022493653007614,1.52913690580917,0.993809488488534,0.475542278139115
1,0.000252382937792077,1.52913687677902,0.99380950615574,0.475542271716345
1,0.000283178313753655,1.52913684413068,0.993809525973321,0.475542264484749
1,0.000317731293889713,1.52913680740318,0.99380954820228,0.475542256339131
1,0.000356500375253498,1.52913676607393,0.993809573135095,0.475542247159796
1,0.0004,1.52913671955031,0.993809601099511,0.475542236810312
1,0.000448807381720785,1.52913666715935,0.993809632462633,0.475542225134872
1,0.000503570164717666,1.5291366081357,0.993809667635722,0.4755422119554
1,0.000565015017849102,1.52913654160787,0.99380970707927,0.475542197067793
1,0.000633957276984446,1.52913646658208,0.993809751308832,0.475542180237714
1,0.000711311764015569,1.52913638192292,0.993809800901477,0.475542161195608
1,0.000798104925987552,1.52913628633089,0.993809856502806,0.475542139630449
1,0.000895488455427335,1.52913617831596,0.993809918835053,0.475542115182804
1,0.00100475457260383,1.52913605616578,0.993809988705581,0.47554208743585
1,0.00112735317250578,1.52913591790828,0.993810067016765,0.475542055905146
1,0.00126491106406735,1.52913576126629,0.993810154776596,0.475542020025988
1,0.0014192535569343,1.52913558360472,0.99381025311033,0.475541979137908
1,0.00159242868221399,1.52913538186516,0.993810363273438,0.475541932466504
1,0.00178673436860385,1.52913515248842,0.993810486665295,0.475541879100282
1,0.00200474893450909,1.52913489131957,0.993810624845098,0.475541817963544
1,0.0022493653007614,1.52913459349483,0.993810779547719,0.475541747782093
1,0.00252382937792077,1.52913425330129,0.993810952701753,0.475541667042029
1,0.00283178313753655,1.52913386400856,0.993811146448752,0.475541573938442
1,0.00317731293889713,1.52913341766054,0.993811363162462,0.475541466312294
1,0.00356500375253498,1.52913290482136,0.993811605471175,0.475541341572799
1,0.004,1.52913305069942,0.9938119283404,0.475541196880797
1,0.00448807381720785,1.52913237098192,0.993812230732136,0.475541027982776
1,0.00503570164717667,1.52913210062512,0.993812652882318,0.475540830914774
1,0.00565015017849102,1.52913118791261,0.993813029458456,0.475540599489981
1,0.00633957276984446,1.52913077965069,0.993813530935802,0.475540248544902
1,0.00711311764015569,1.52912954247494,0.993813998672667,0.475539927557841
1,0.00798104925987552,1.52912817683506,0.99381435520861,0.475539626753042
1,0.00895488455427335,1.52912776422594,0.993815099215528,0.475539098869405
1,0.0100475457260383,1.52912641212788,0.993815632422434,0.475538562553653
1,0.0112735317250578,1.52912394654782,0.993816453814384,0.475537926611599
1,0.0126491106406735,1.52912116045771,0.993817365636531,0.475537036192787
1,0.014192535569343,1.52911912622994,0.993809615257686,0.475544961633552
1,0.0159242868221399,1.52911411406316,0.993812658451176,0.475542839863125
1,0.0178673436860385,1.52910984940904,0.993813644661015,0.475541441268759
1,0.0200474893450909,1.52911510436616,0.993804191785336,0.475539711011868
1,0.022493653007614,1.52910830330013,0.993805633903755,0.475537757117599
1,0.0252382937792077,1.52910906626079,0.993799098600911,0.475534864017915
1,0.0283178313753655,1.52910002144709,0.993800172772321,0.475531903274215
1,0.0317731293889713,1.52908760009527,0.993801537561689,0.475528854894144
1,0.0356500375253498,1.52909199034952,0.993785083918422,0.475524490953652
1,0.04,1.52908413323111,0.99376685633042,0.475529701769219
1,0.0448807381720786,1.52906317183579,0.993756212807612,0.475535615089491
1,0.0503570164717666,1.52903681605919,0.993757225391755,0.475527453345203
1,0.0565015017849102,1.52898832266204,0.993775557559736,0.475515746121797
1,0.0633957276984444,1.52895349344307,0.993770080309828,0.475504400930294
1,0.0711311764015569,1.52889637131923,0.99379180685808,0.475474397796232
1,0.0798104925987553,1.52883386279301,0.993793393481164,0.47545422549459
1,0.0895488455427335,1.5287540753019,0.993797708996582,0.475428495491275
1,0.100475457260383,1.52863021136377,0.993815421977288,0.475407341427553
1,0.112735317250578,1.52843402694291,0.993889913297036,0.475367765470636
1,0.126491106406735,1.52837918868948,0.993817523538033,0.47529913626241
1,0.14192535569343,1.52818368023484,0.993812408663612,0.475250062252005
1,0.159242868221399,1.52783767785621,0.993909731124668,0.475181207994344
1,0.178673436860385,1.52741611904982,0.994026634621108,0.47508460734728
1,0.200474893450909,1.52701842257148,0.994049656176526,0.47496448156552
1,0.22493653007614,1.52637638549294,0.994187268622714,0.474842176371648
1,0.252382937792078,1.52571820006991,0.994223538972267,0.474682987675796
1,0.283178313753655,1.52498509247764,0.994204072400688,0.474462269152971
1,0.317731293889713,1.52402593580449,0.994215416583717,0.474187662334106
1,0.356500375253498,1.52287898114297,0.994061092973555,0.473965268729378
1,0.4,1.52164666541764,0.993728449951858,0.473644523145476
1,0.448807381720786,1.52002603031353,0.993514936515748,0.47310393415667
1,0.503570164717666,1.51782838092925,0.993304291381827,0.472537218591338
1,0.565015017849102,1.51511732169923,0.99322471187254,0.471582153911153
1,0.633957276984444,1.51164196230249,0.993102893627042,0.470512140395409
1,0.711311764015569,1.50740016014329,0.992821308176128,0.469249981731686
1,0.798104925987553,1.50207152405622,0.992809576427047,0.467335254256909
1,0.895488455427335,1.49576057923048,0.992428220682611,0.465115351281479
1,1.00475457260383,1.48757614909789,0.992236968535302,0.46244272512284
1,1.12735317250578,1.47791351326951,0.991514523943344,0.459394150395479
1,1.26491106406735,1.46607995923846,0.990732778175246,0.45561741026645
1,1.4192535569343,1.45147247283534,0.989513380024706,0.451675356741447
1,1.59242868221399,1.43411919270508,0.988761150597284,0.445787588960006
1,1.78673436860385,1.4136095017079,0.987596045178165,0.439170053227794
1,2.00474893450909,1.3895144682342,0.9864169532136,0.431198381793124
1,2.2493653007614,1.36228364088989,0.984579541587,0.422128796550826
1,2.52382937792078,1.33231064508262,0.980533708351101,0.411463356107382
1,2.83178313753655,1.29754530799961,0.97838104977085,0.399488284296639
1,3.17731293889713,1.25952511798407,0.976415150355054,0.386272493408708
1,3.56500375253498,1.21886824032615,0.973767203491026,0.372131709693606
1,4,1.17632634972436,0.971119912232355,0.357202858939421
1,4.48807381720786,1.13306403184057,0.968302806711579,0.34178509851416
1,5.03570164717666,1.09011304775168,0.966020301789389,0.32623103493457
1,5.65015017849102,1.04811766738119,0.964495186269759,0.311294751659471
1,6.33957276984444,1.00823530903248,0.962862822238849,0.297009426233081
1,7.11311764015569,0.971137826927887,0.960807439351144,0.283300110892956
1,7.98104925987553,0.93742458279613,0.958782853449873,0.270634038969705
1,8.95488455427335,0.907391573322334,0.957399579177049,0.25938343769841
1,10.0475457260383,0.881068690852689,0.956245633610781,0.249343218228616
1,11.2735317250578,0.858340994781111,0.955129718874939,0.240639882733584
1,12.6491106406735,0.838986188114139,0.954238957728902,0.233181284362352
1,14.192535569343,0.822799792214841,0.953487885275009,0.226763576266444
1,15.9242868221399,0.809247561537785,0.95296263066835,0.221503061649129
1,17.8673436860385,0.798087444379328,0.952607032497336,0.217251566773178
1,20.0474893450909,0.789199519115251,0.952498310630757,0.213556852603961
1,22.493653007614,0.78186336269614,0.952083507538775,0.210395925734531
1,25.2382937792078,0.776036340837078,0.95221207508335,0.208112540907944
1,28.3178313753655,0.771209904881673,0.952174690507324,0.206333162203858
1,31.7731293889713,0.767388929432389,0.951966111085144,0.204647388380787
1,35.6500375253498,0.764354179958074,0.951892598658122,0.203381667550546
1,40,0.761889569099808,0.951707608199728,0.202305343441279
1,44.8807381720786,0.75992177896537,0.951891026996444,0.2017774901023
1,50.3570164717666,0.758361838981087,0.951790460243948,0.201127164740519
1,56.5015017849102,0.756898540024391,0.951519170608116,0.200681119240621
1,63.3957276984444,0.755916999024105,0.951400214140815,0.200215044891605
1,71.1311764015569,0.755370217543892,0.95152793765946,0.199817341390094
1,79.8104925987553,0.754763859416014,0.951214317602507,0.199297056572044
1,89.5488455427335,0.754348401967344,0.951287648829567,0.199128840752265
1,100.475457260383,0.753972629646459,0.951503173868357,0.199212614430694
1,112.735317250578,0.753957124440029,0.951762235837939,0.199086058847291
1,126.491106406735,0.753727633751642,0.951739786654835,0.198983521922428
1,141.92535569343,0.753827497685873,0.952002093954619,0.198901690929165
1,159.242868221399,0.753688776480213,0.951985805835893,0.198837564606409
1,178.673436860385,0.753582588874736,0.951868184787437,0.198683778625868
1,200.474893450909,0.753499519110741,0.951856063394357,0.198643666035295
1,224.93653007614,0.75343865790122,0.951793060809181,0.198558728595605
1,252.382937792078,0.753397917449631,0.951797598219141,0.1985386272791
1,283.178313753655,0.753353737977932,0.951777459444274,0.198514290496943
1,317.731293889713,0.753325825340454,0.951770703375995,0.198498776871346
1,356.500375253498,0.753383795027923,0.951898137542811,0.198538370839769
1,400,0.753368828995961,0.951893181014303,0.198528943685129
