Time_Analysis,I_P_Analysis,I_2_Analysis,I_4_Analysis,I_6_Analysis,I_S_Analysis
0,0,-0.936169249,-0.027500693,-0.302032271,-1.265702213
0.0102,0.127877162,-1.058687106,-0.15237476,-0.339003655,-1.550065521
0.0204,0.253654584,-1.16382135,-0.274746837,-0.370408609,-1.808976796
0.0306,0.375267005,-1.24984568,-0.392607579,-0.395731464,-2.038184722
0.0408,0.490717552,-1.315347578,-0.504021715,-0.414556419,-2.233925712
0.051,0.59811053,-1.359251506,-0.607159828,-0.426574369,-2.392985703
0.0612,0.695682551,-1.380836561,-0.700328394,-0.43158798,-2.512752935
0.07145,0.781831482,-1.379748318,-0.781997587,-0.429514928,-2.591260833
0.08165,0.855142763,-1.356004646,-0.850826402,-0.420389252,-2.6272203
0.09185,0.914412623,-1.309995415,-0.90568467,-0.404360797,-2.620040882
0.10205,0.958667853,-1.242476096,-0.945671621,-0.381692749,-2.569840466
0.11225,0.987181783,-1.154555353,-0.97013067,-0.352757316,-2.47744334
0.12245,0.999486216,-1.047676844,-0.978660201,-0.318029618,-2.344366663
0.13265,0.995379113,-0.923595509,-0.971120158,-0.278079883,-2.17279555
0.14285,0.974927912,-0.784348762,-0.947634349,-0.233564083,-1.965547194
0.15305,0.938468422,-0.63222303,-0.90858841,-0.185213168,-1.726024608
0.16325,0.886599306,-0.469716214,-0.854623474,-0.133821057,-1.458160745
0.17345,0.820172255,-0.29949667,-0.786625645,-0.080231609,-1.166353923
0.18365,0.740277997,-0.124359399,-0.705711444,-0.02532476,-0.855395602
0.1939,0.648228395,0.05281985,-0.613209481,0.029997922,-0.530391709
0.2041,0.545534901,0.229131799,-0.510638635,0.084828038,-0.196678799
0.2143,0.433883739,0.401681409,-0.399683117,0.13826528,0.140263572
0.2245,0.315108218,0.567635422,-0.282164813,0.18943221,0.474902819
0.2347,0.191158629,0.724268877,-0.160013371,0.237488668,0.801744174
0.2449,0.06407022,0.869009857,-0.035234514,0.281645569,1.115420913
0.2551,-0.06407022,0.99948172,0.090122893,0.321177858,1.410782471
0.2653,-0.191158629,1.11354212,0.214000485,0.355436415,1.682979019
0.2755,-0.315108218,1.209318189,0.334364195,0.383858715,1.927541099
0.2857,-0.433883739,1.285237287,0.449237654,0.405978067,2.140453007
0.2959,-0.545534901,1.340052824,0.556734643,0.42143127,2.318218736
0.3061,-0.648228395,1.372864731,0.655090064,0.429964583,2.457919378
0.31635,-0.740277997,1.383134237,0.742688925,0.431437889,2.557261051
0.32655,-0.820172255,1.370692717,0.818092854,0.425826997,2.614612569
0.33675,-0.886599306,1.335744461,0.880063721,0.413224038,2.62903222
0.34695,-0.938468422,1.278863317,0.927583966,0.393835951,2.600283235
0.35715,-0.974927912,1.200983273,0.959873308,0.367981089,2.528837671
0.36735,-0.995379113,1.103383117,0.976401557,0.336083988,2.415868663
0.37755,-0.999486216,0.987665441,0.97689732,0.298668397,2.263231158
0.38775,-0.987181783,0.855730326,0.961352455,0.256348679,2.073431459
0.39795,-0.958667853,0.709744142,0.93002221,0.209819723,1.849586074
0.40815,-0.914412623,0.552103979,0.883421025,0.159845532,1.595370536
0.41835,-0.855142763,0.385398284,0.822314092,0.107246683,1.314959059
0.42855,-0.781831482,0.212364359,0.747704784,0.052886846,1.01295599
0.4388,-0.695682551,0.035843418,0.660818184,-0.002341392,0.694320211
0.449,-0.59811053,-0.141266071,0.563080968,-0.057531184,0.364283714
0.4592,-0.490717552,-0.316055975,0.456097978,-0.111776315,0.028265688
0.4694,-0.375267005,-0.485656249,0.341625872,-0.164186083,-0.308216459
0.4796,-0.253654584,-0.64728206,0.221544279,-0.213899919,-0.639637701
0.4898,-0.127877162,-0.798279518,0.097824934,-0.260101525,-0.960556109
0.5,0,-0.936169249,-0.027500693,-0.302032271,-1.265702213
0.5102,0.127877162,-1.058687106,-0.15237476,-0.339003655,-1.550065521
0.5204,0.253654584,-1.16382135,-0.274746837,-0.370408609,-1.808976796
0.5306,0.375267005,-1.24984568,-0.392607579,-0.395731464,-2.038184722
0.5408,0.490717552,-1.315347578,-0.504021715,-0.414556419,-2.233925712
0.551,0.59811053,-1.359251506,-0.607159828,-0.426574369,-2.392985703
0.5612,0.695682551,-1.380836561,-0.700328394,-0.43158798,-2.512752935
0.57145,0.781831482,-1.379748318,-0.781997587,-0.429514928,-2.591260833
0.58165,0.855142763,-1.356004646,-0.850826402,-0.420389252,-2.6272203
0.59185,0.914412623,-1.309995415,-0.90568467,-0.404360797,-2.620040882
0.60205,0.958667853,-1.242476096,-0.945671621,-0.381692749,-2.569840466
0.61225,0.987181783,-1.154555353,-0.97013067,-0.352757316,-2.47744334
0.62245,0.999486216,-1.047676844,-0.978660201,-0.318029618,-2.344366663
0.63265,0.995379113,-0.923595509,-0.971120158,-0.278079883,-2.17279555
0.64285,0.974927912,-0.784348762,-0.947634349,-0.233564083,-1.965547194
0.65305,0.938468422,-0.63222303,-0.90858841,-0.185213168,-1.726024608
0.66325,0.886599306,-0.469716214,-0.854623474,-0.133821057,-1.458160745
0.67345,0.820172255,-0.29949667,-0.786625645,-0.080231609,-1.166353923
0.68365,0.740277997,-0.124359399,-0.705711444,-0.02532476,-0.855395602
0.6939,0.648228395,0.05281985,-0.613209481,0.029997922,-0.530391709
0.7041,0.545534901,0.229131799,-0.510638635,0.084828038,-0.196678799
0.7143,0.433883739,0.401681409,-0.399683117,0.13826528,0.140263572
0.7245,0.315108218,0.567635422,-0.282164813,0.18943221,0.474902819
0.7347,0.191158629,0.724268877,-0.160013371,0.237488668,0.801744174
0.7449,0.06407022,0.869009857,-0.035234514,0.281645569,1.115420913
0.7551,-0.06407022,0.99948172,0.090122893,0.321177858,1.410782471
0.7653,-0.191158629,1.11354212,0.214000485,0.355436415,1.682979019
0.7755,-0.315108218,1.209318189,0.334364195,0.383858715,1.927541099
0.7857,-0.433883739,1.285237287,0.449237654,0.405978067,2.140453007
0.7959,-0.545534901,1.340052824,0.556734643,0.42143127,2.318218736
0.8061,-0.648228395,1.372864731,0.655090064,0.429964583,2.457919378
0.81635,-0.740277997,1.383134237,0.742688925,0.431437889,2.557261051
0.82655,-0.820172255,1.370692717,0.818092854,0.425826997,2.614612569
0.83675,-0.886599306,1.335744461,0.880063721,0.413224038,2.62903222
0.84695,-0.938468422,1.278863317,0.927583966,0.393835951,2.600283235
0.85715,-0.974927912,1.200983273,0.959873308,0.367981089,2.528837671
0.86735,-0.995379113,1.103383117,0.976401557,0.336083988,2.415868663
0.87755,-0.999486216,0.987665441,0.97689732,0.298668397,2.263231158
0.88775,-0.987181783,0.855730326,0.961352455,0.256348679,2.073431459
0.89795,-0.958667853,0.709744142,0.93002221,0.209819723,1.849586074
0.90815,-0.914412623,0.552103979,0.883421025,0.159845532,1.595370536
0.91835,-0.855142763,0.385398284,0.822314092,0.107246683,1.314959059
0.92855,-0.781831482,0.212364359,0.747704784,0.052886846,1.01295599
0.9388,-0.695682551,0.035843418,0.660818184,-0.002341392,0.694320211
0.949,-0.59811053,-0.141266071,0.563080968,-0.057531184,0.364283714
0.9592,-0.490717552,-0.316055975,0.456097978,-0.111776315,0.028265688
0.9694,-0.375267005,-0.485656249,0.341625872,-0.164186083,-0.308216459
0.9796,-0.253654584,-0.64728206,0.221544279,-0.213899919,-0.639637701
0.9898,-0.127877162,-0.798279518,0.097824934,-0.260101525,-0.960556109
1,-2.45E-16,-0.936169249,-0.027500693,-0.302032271,-1.265702213
,,,,,
