Time_FEA,I_P_FEA,I_2_FEA,I_4_FEA,I_6_FEA,I_S_FEA
0,-0.1,-0.936309467,-0.042874117,-0.222197581,-1.201381164
0.01,-0.3,-1.155334916,-0.240156694,-0.291290275,-1.686781885
0.02,-0.5,-1.350993584,-0.437003713,-0.353393714,-2.141391011
0.03,-0.489473684,-1.23320551,-0.424749727,-0.317979967,-1.975935205
0.04,-0.478947368,-1.123413397,-0.412637563,-0.284940147,-1.820991107
0.05,-0.468421053,-1.021086113,-0.400666635,-0.254140184,-1.675892932
0.06,-0.457894737,-0.925739228,-0.388830711,-0.225441763,-1.540011702
0.07,-0.447368421,-0.836926576,-0.377121287,-0.19871202,-1.412759884
0.08,-0.436842105,-0.754233521,-0.365529113,-0.173825426,-1.29358806
0.09,-0.426315789,-0.677273054,-0.354044978,-0.150664122,-1.181982154
0.1,-0.415789474,-0.605683206,-0.34266009,-0.129117721,-1.077461017
0.11,-0.405263158,-0.539125086,-0.331366247,-0.109082911,-0.979574244
0.12,-0.394736842,-0.477281253,-0.320155882,-0.090463026,-0.887900161
0.13,-0.384210526,-0.419854289,-0.309022073,-0.073167617,-0.802043978
0.14,-0.373684211,-0.366565499,-0.297958508,-0.057112045,-0.721636052
0.15,-0.363157895,-0.317153718,-0.286959455,-0.042217104,-0.646330276
0.16,-0.352631579,-0.271374195,-0.276019716,-0.028408663,-0.575802575
0.17,-0.342105263,-0.22899756,-0.265134588,-0.015617342,-0.50974949
0.18,-0.331578947,-0.189808857,-0.254299816,-0.003778197,-0.447886871
0.19,-0.321052632,-0.153606636,-0.243511557,0.007169559,-0.389948635
0.2,-0.310526316,-0.120202107,-0.232766341,0.01728283,-0.335685618
0.21,-0.3,-0.089418346,-0.222061034,0.026614884,-0.284864496
0.22,-0.289473684,-0.061089552,-0.211392808,0.035215586,-0.237266774
0.23,-0.278947368,-0.035060353,-0.200759108,0.043131619,-0.192687842
0.24,-0.268421053,-0.01118515,-0.190157627,0.050406685,-0.150936092
0.25,-0.257894737,0.010672494,-0.179586278,0.057081698,-0.111832085
0.26,-0.247368421,0.030640425,-0.169043174,0.063194963,-0.075207786
0.27,-0.236842105,0.048838438,-0.158526604,0.068782339,-0.040905827
0.28,-0.226315789,0.065378778,-0.148035018,0.0738774,-0.008778839
0.29,-0.215789474,0.080366618,-0.137567005,0.07851158,0.021311192
0.3,-0.205263158,0.093900494,-0.127121284,0.082714305,0.049493515
0.31,-0.194736842,0.10607273,-0.116696684,0.086513128,0.075889174
0.32,-0.184210526,0.116969819,-0.106292137,0.089933844,0.100611527
0.33,-0.173684211,0.126672795,-0.095906662,0.093000603,0.123766736
0.34,-0.163157895,0.135257571,-0.085539363,0.095736016,0.145454224
0.35,-0.152631579,0.142795263,-0.075189409,0.09816125,0.165767104
0.36,-0.142105263,0.149352492,-0.064856039,0.100296126,0.184792579
0.37,-0.131578947,0.154991662,-0.054538543,0.102159197,0.202612315
0.38,-0.121052632,0.15977123,-0.044236266,0.103767835,0.219302799
0.39,-0.110526316,0.163745953,-0.033948597,0.105138303,0.23493566
0.4,-0.1,0.166967119,-0.023674963,0.106285828,0.249577984
0.41,-0.089473684,0.169482767,-0.013414831,0.107224664,0.263292599
0.42,-0.078947368,0.17133789,-0.003167698,0.107968154,0.276138347
0.43,-0.068421053,0.172574631,0.00706691,0.108528794,0.288170335
0.44,-0.057894737,0.173232458,0.01728944,0.108918278,0.299440175
0.45,-0.047368421,0.173348334,0.027500315,0.109147554,0.309996202
0.46,-0.036842105,0.172956877,0.037699937,0.109226874,0.319883688
0.47,-0.026315789,0.172090506,0.047888691,0.109165831,0.329145028
0.48,-0.015789474,0.170779582,0.058066941,0.108973409,0.337819932
0.49,-0.005263158,0.169052535,0.068235037,0.108658014,0.345945586
0.5,0.005263158,0.166935989,0.078393314,0.108227518,0.353556822
0.51,0.015789474,0.164454874,0.088542095,0.107689289,0.360686258
0.52,0.026315789,0.161632534,0.098681689,0.107050222,0.367364445
0.53,0.036842105,0.158490828,0.108812394,0.106316773,0.373619995
0.54,0.047368421,0.155050225,0.118934498,0.105494984,0.379479706
0.55,0.057894737,0.151329886,0.12904828,0.10459051,0.384968676
0.56,0.068421053,0.147347757,0.139154007,0.103608646,0.390110409
0.57,0.078947368,0.143120635,0.149251941,0.102554344,0.394926921
0.58,0.089473684,0.138664251,0.159342335,0.101432244,0.39943883
0.59,0.1,0.13399333,0.169425432,0.100246683,0.403665445
0.6,0.110526316,0.129121657,0.179501472,0.099001725,0.407624854
0.61,0.121052632,0.12406214,0.189570684,0.09770117,0.411333994
0.62,0.131578947,0.11882686,0.199633293,0.096348576,0.414808729
0.63,0.142105263,0.113427129,0.209689517,0.094947271,0.418063917
0.64,0.152631579,0.107873533,0.219739569,0.093500372,0.421113474
0.65,0.163157895,0.102175986,0.229783655,0.092010793,0.423970434
0.66,0.173684211,0.096343764,0.239821975,0.090481263,0.426647002
0.67,0.184210526,0.090385551,0.249854726,0.088914335,0.429154612
0.68,0.194736842,0.084309476,0.259882096,0.087312397,0.43150397
0.69,0.205263158,0.078123148,0.269904272,0.085677685,0.433705104
0.7,0.215789474,0.071833686,0.279921433,0.084012289,0.435767408
0.71,0.226315789,0.065447756,0.289933756,0.082318166,0.437699678
0.72,0.236842105,0.058971595,0.299941409,0.080597148,0.439510153
0.73,0.247368421,0.052411041,0.309944561,0.078850947,0.441206549
0.74,0.257894737,0.045771557,0.319943372,0.077081165,0.442796094
0.75,0.268421053,0.039058255,0.329937999,0.075289303,0.444285557
0.76,0.278947368,0.03227592,0.339928596,0.073476761,0.445681277
0.77,0.289473684,0.025429029,0.34991531,0.071644853,0.446989192
0.78,0.3,0.018521771,0.359898287,0.069794805,0.448214863
0.79,0.310526316,0.011558065,0.369877668,0.067927767,0.449363499
0.8,0.321052632,0.00454158,0.379853588,0.066044811,0.450439979
0.81,0.331578947,-0.002524252,0.38982618,0.064146944,0.451448871
0.82,0.342105263,-0.009636222,0.399795573,0.062235103,0.452394455
0.83,0.352631579,-0.016791323,0.409761892,0.06031017,0.453280739
0.84,0.363157895,-0.023986747,0.419725259,0.058372965,0.454111477
0.85,0.373684211,-0.031219864,0.42968579,0.056424259,0.454890185
0.86,0.384210526,-0.038488215,0.439643601,0.05446477,0.455620156
0.87,0.394736842,-0.045789498,0.449598802,0.052495171,0.456304475
0.88,0.405263158,-0.05312156,0.4595515,0.050516091,0.456946031
0.89,0.415789474,-0.06048239,0.469501799,0.048528119,0.457547529
0.9,0.426315789,-0.067870102,0.479449799,0.046531806,0.458111503
0.91,0.436842105,-0.075282937,0.489395598,0.044527666,0.458640328
0.92,0.447368421,-0.082719247,0.499339291,0.042516182,0.459136226
0.93,0.457894737,-0.09017749,0.509280967,0.040497802,0.45960128
0.94,0.468421053,-0.097656225,0.519220715,0.03847295,0.46003744
0.95,0.478947368,-0.105154106,0.52915862,0.036442018,0.460446532
0.96,0.489473684,-0.112669871,0.539094764,0.034405375,0.460830269
0.97,0.5,-0.120202341,0.549029226,0.032363366,0.461190251
0.98,0.3,-0.419311853,0.350267958,-0.060657823,-0.129701719
0.99,0.1,-0.689941231,0.152026849,-0.145184792,-0.683099174
1,-1.22E-15,1.09929198,0.031311088,0.316868415,1.447471482
