Time_Analysis,I_1_Analysis,I_2_Analysis,I_3_Analysis,I_4_Analysis,I_S_Analysis
0,0,-0.294144464,-0.413940007,0,
0.01010101,0.996640719,-0.33441222,-0.419329216,0.996640719,
0.02020202,1.00138187,-0.184541869,-0.208177572,1.00138187,
0.03030303,1.002092216,-0.106387996,-0.098157602,1.002092216,
0.04040404,1.000962477,-0.065413532,-0.040553688,1.000962477,
0.050505051,0.999547189,-0.043905553,-0.010359022,0.999547189,
0.060606061,0.998949107,-0.032800303,0.005238266,0.998949107,
0.070707071,0.999370972,-0.027283054,0.013024217,0.999370972,
0.080808081,1.000217187,-0.024626992,0.016805546,1.000217187,
0.090909091,1.00070594,-0.023262474,0.018750936,1.00070594,
0.101010101,1.000500509,-0.022399627,0.019954622,1.000500509,
0.111111111,0.999892966,-0.021784547,0.020788946,0.999892966,
0.121212121,0.999464861,-0.021428131,0.021268493,0.999464861,
0.131313131,0.999563645,-0.021350285,0.021383125,0.999563645,
0.141414141,1.000040368,-0.021451138,0.021265725,1.000040368,
0.151515152,1.00043406,-0.021551309,0.021145015,1.00043406,
0.161616162,1.000401847,-0.021523868,0.021181974,1.000401847,
0.171717172,1.000007313,-0.021383858,0.021358706,1.000007313,
0.181818182,0.99963209,-0.021255039,0.021520684,0.99963209,
0.191919192,0.999615367,-0.021248022,0.021529697,0.999615367,
0.202020202,0.999953736,-0.021359936,0.021389614,0.999953736,
0.212121212,1.000321794,-0.021481545,0.021237414,1.000321794,
0.222222222,1.000379675,-0.021499743,0.021214783,1.000379675,
0.232323232,1.000082022,-0.021399996,0.02133984,1.000082022,
0.242424242,0.999711717,-0.021276851,0.021494085,0.999711717,
0.252525253,0.999614818,-0.021245264,0.021533551,0.999614818,
0.262626263,0.999881505,-0.021334563,0.021421604,0.999881505,
0.272727273,1.000263267,-0.0214615,0.021262613,1.000263267,
0.282828283,1.00040139,-0.021506775,0.021206004,1.00040139,
0.292929293,1.000159423,-0.021425619,0.021307763,1.000159423,
0.303030303,0.999755696,-0.021291299,0.021476016,0.999755696,
0.313131313,0.999569494,-0.021230048,0.021552631,0.999569494,
0.323232323,0.999790398,-0.021304348,0.021459437,0.999790398,
0.333333333,1.000229864,-0.021450784,0.021275974,1.000229864,
0.343434343,1.000477668,-0.02153278,0.021173333,1.000477668,
0.353535354,1.000276766,-0.021465525,0.021257643,1.000276766,
0.363636364,0.999781033,-0.021301256,0.021463307,0.999781033,
0.373737374,0.999446162,-0.021192294,0.021599417,0.999446162,
0.383838384,0.999624048,-0.021255943,0.021518997,0.999624048,
0.393939394,1.000211005,-0.021458302,0.021264424,1.000211005,
0.404040404,1.000684566,-0.021628172,0.021049737,1.000684566,
0.414141414,1.000542775,-0.021605268,0.021074673,1.000542775,
0.424242424,0.999794263,-0.021405841,0.021316809,0.999794263,
0.434343434,0.999056702,-0.021260056,0.021484019,0.999056702,
0.444444444,0.999110116,-0.021473658,0.021186172,0.999110116,
0.454545455,1.000203963,-0.022219556,0.020192773,1.000203963,
0.464646465,1.001656497,-0.023449148,0.018537142,1.001656497,
0.474747475,1.002068584,-0.025050464,0.016304865,1.002068584,
0.484848485,0.999773489,-0.027166716,0.013208646,0.999773489,
0.494949495,0.988930096,-0.029226666,0.00975184,0.988930096,
0.505050505,-0.988930096,0.454314836,0.588461017,-0.988930096,
0.515151515,-0.999773489,0.247370156,0.296676545,-0.999773489,
0.525252525,-1.002068584,0.139183068,0.144310264,-1.002068584,
0.535353535,-1.001656497,0.08263591,0.064754476,-1.001656497,
0.545454545,-1.000203963,0.052929849,0.02302483,-1.000203963,
0.555555556,-0.999110116,0.037419744,0.001254241,-0.999110116,
0.565656566,-0.999056702,0.029547553,-0.009821292,-0.999056702,
0.575757576,-0.999794263,0.025716777,-0.015250167,-0.999794263,
0.585858586,-1.000542775,0.023848087,-0.017918427,-1.000542775,
0.595959596,-1.000684566,0.022793783,-0.01940941,-1.000684566,
0.606060606,-1.000211005,0.022063284,-0.020413052,-1.000211005,
0.616161616,-0.999624048,0.02157061,-0.021076176,-0.999624048,
0.626262626,-0.999446162,0.021357539,-0.021366872,-0.999446162,
0.636363636,-0.999781033,0.021389148,-0.02133962,-0.999781033,
0.646464646,-1.000276766,0.021512036,-0.021192189,-1.000276766,
0.656565657,-1.000477668,0.021556179,-0.021140404,-1.000477668,
0.666666667,-1.000229864,0.021461516,-0.021260872,-1.000229864,
0.676767677,-0.999790398,0.021309255,-0.021452533,-0.999790398,
0.686868687,-0.999569494,0.021233292,-0.021548066,-0.999569494,
0.696969697,-0.999755696,0.021294363,-0.021471703,-0.999755696,
0.707070707,-1.000159423,0.021427992,-0.021304424,-1.000159423,
0.717171717,-1.00040139,0.021507495,-0.021204991,-1.00040139,
0.727272727,-1.000263267,0.021460575,-0.021263915,-1.000263267,
0.737373737,-0.999881505,0.02133321,-0.021423509,-0.999881505,
0.747474747,-0.999614818,0.0212449,-0.021534063,-0.999614818,
0.757575758,-0.999711717,0.021277844,-0.021492687,-0.999711717,
0.767676768,-1.000082022,0.021401333,-0.021337958,-1.000082022,
0.777777778,-1.000379675,0.021499934,-0.021214514,-1.000379675,
0.787878788,-1.000321794,0.021479916,-0.021239707,-1.000321794,
0.797979798,-0.999953736,0.021357084,-0.021393627,-0.999953736,
0.808080808,-0.999615367,0.0212449,-0.021534092,-0.999615367,
0.818181818,-0.99963209,0.021251313,-0.021525927,-0.99963209,
0.828282828,-1.000007313,0.021376726,-0.021368742,-1.000007313,
0.838383838,-1.000401847,0.021507835,-0.021204537,-1.000401847,
0.848484848,-1.00043406,0.021517994,-0.021191898,-1.00043406,
0.858585859,-1.000040368,0.021387013,-0.021355967,-1.000040368,
0.868686869,-0.999563645,0.021229911,-0.021552523,-0.999563645,
0.878787879,-0.999464861,0.021200484,-0.021588853,-0.999464861,
0.888888889,-0.999892966,0.021348531,-0.021402537,-0.999892966,
0.898989899,-1.000500509,0.021559825,-0.021136449,-1.000500509,
0.909090909,-1.00070594,0.021645282,-0.021026758,-1.00070594,
0.919191919,-1.000217187,0.021517384,-0.021181598,-1.000217187,
0.929292929,-0.999370972,0.02130636,-0.021435026,-0.999370972,
0.939393939,-0.998949107,0.021305928,-0.021413928,-0.998949107,
0.949494949,-0.999547189,0.021778468,-0.020779711,-0.999547189,
0.95959596,-1.000962477,0.022782993,-0.019438894,-1.000962477,
0.96969697,-1.002092216,0.024203752,-0.017497631,-1.002092216,
0.97979798,-1.00138187,0.026020514,-0.014904412,-1.00138187,
0.98989899,-0.996640719,0.028483154,-0.011194881,-0.996640719,
1,-2.51E-13,-0.294144464,-0.413940007,-2.51E-13,
